NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REGULATION OF GLUCOSE IMPORT%GOBP%GO:0046324	REGULATION OF GLUCOSE IMPORT%GOBP%GO:0046324		28	-0.38506433	-1.2146642	0.1502146	0.6225037	1.0	2264	tags=36%, list=15%, signal=42%	
T CELL ACTIVATION%PANTHER PATHWAY%P00053	T CELL ACTIVATION%PANTHER PATHWAY%P00053		49	-0.33504593	-1.214427	0.12426036	0.6219617	1.0	2882	tags=35%, list=19%, signal=43%	
EPO SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPO SIGNALING PATHWAY	EPO SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPO SIGNALING PATHWAY		30	-0.37731895	-1.2134433	0.15086207	0.62375116	1.0	2233	tags=33%, list=15%, signal=39%	
ENDOTHELIN PATHWAYS%WIKIPATHWAYS_20220510%WP2197%HOMO SAPIENS	ENDOTHELIN PATHWAYS%WIKIPATHWAYS_20220510%WP2197%HOMO SAPIENS		22	-0.40798172	-1.2129011	0.19847329	0.62409526	1.0	1934	tags=36%, list=13%, signal=42%	
FORMATION OF PARAXIAL MESODERM%REACTOME DATABASE ID RELEASE 83%9793380	FORMATION OF PARAXIAL MESODERM%REACTOME DATABASE ID RELEASE 83%9793380		15	-0.45344248	-1.2128518	0.18770227	0.6229944	1.0	1724	tags=27%, list=11%, signal=30%	
BIOCARTA_EIF4_PATHWAY%MSIGDB_C2%BIOCARTA_EIF4_PATHWAY	BIOCARTA_EIF4_PATHWAY%MSIGDB_C2%BIOCARTA_EIF4_PATHWAY		19	-0.43049294	-1.2128382	0.20618556	0.6217623	1.0	2456	tags=42%, list=16%, signal=50%	
POSITIVE REGULATION OF LAMELLIPODIUM ASSEMBLY%GOBP%GO:0010592	POSITIVE REGULATION OF LAMELLIPODIUM ASSEMBLY%GOBP%GO:0010592		22	-0.40632504	-1.2126597	0.16216215	0.6210206	1.0	2348	tags=27%, list=15%, signal=32%	
SIGNALING BY TGFB FAMILY MEMBERS%REACTOME DATABASE ID RELEASE 83%9006936	SIGNALING BY TGFB FAMILY MEMBERS%REACTOME DATABASE ID RELEASE 83%9006936		106	-0.2997946	-1.2122473	0.10714286	0.6210755	1.0	1006	tags=15%, list=7%, signal=16%	
ETHER LIPID METABOLIC PROCESS%GOBP%GO:0046485	ETHER LIPID METABOLIC PROCESS%GOBP%GO:0046485		17	-0.4420263	-1.2115651	0.2080292	0.62189364	1.0	1227	tags=29%, list=8%, signal=32%	
PIGMENT GRANULE LOCALIZATION%GOBP%GO:0051875	PIGMENT GRANULE LOCALIZATION%GOBP%GO:0051875		19	-0.43085185	-1.210847	0.19934641	0.62271535	1.0	1720	tags=26%, list=11%, signal=30%	
MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20220510%WP3981%HOMO SAPIENS	MIRNA REGULATION OF PROSTATE CANCER SIGNALING PATHWAYS%WIKIPATHWAYS_20220510%WP3981%HOMO SAPIENS		26	-0.3891341	-1.2104975	0.17602997	0.6225734	1.0	2582	tags=38%, list=17%, signal=46%	
G13 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP524%HOMO SAPIENS	G13 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP524%HOMO SAPIENS		26	-0.39655277	-1.2102798	0.18145162	0.62198025	1.0	2507	tags=35%, list=16%, signal=41%	
GLOBOID CELL LEUKODYSTROPHY%PATHWHIZ%PW000202	GLOBOID CELL LEUKODYSTROPHY%PATHWHIZ%PW000202		21	-0.4131211	-1.2096704	0.20229007	0.62254006	1.0	1673	tags=29%, list=11%, signal=32%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY%MSIGDBHALLMARK%HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY%MSIGDBHALLMARK%HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		30	-0.38499695	-1.2093481	0.1826087	0.6222828	1.0	369	tags=13%, list=2%, signal=14%	
PROTEIN LOCALIZATION TO GOLGI APPARATUS%GOBP%GO:0034067	PROTEIN LOCALIZATION TO GOLGI APPARATUS%GOBP%GO:0034067		27	-0.39742702	-1.2090172	0.19591837	0.6219528	1.0	1493	tags=30%, list=10%, signal=33%	
SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)	SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY STEM CELL FACTOR RECEPTOR (C-KIT)		43	-0.35463834	-1.2087711	0.14778325	0.6213924	1.0	2233	tags=30%, list=15%, signal=35%	
BLOOD VESSEL DIAMETER MAINTENANCE%GOBP%GO:0097746	BLOOD VESSEL DIAMETER MAINTENANCE%GOBP%GO:0097746		42	-0.3547482	-1.208644	0.19178082	0.62053686	1.0	1206	tags=21%, list=8%, signal=23%	
ESTABLISHMENT OF MELANOSOME LOCALIZATION%GOBP%GO:0032401	ESTABLISHMENT OF MELANOSOME LOCALIZATION%GOBP%GO:0032401		17	-0.44074115	-1.2079154	0.2147651	0.621293	1.0	1720	tags=29%, list=11%, signal=33%	
POSITIVE REGULATION OF PHOSPHOLIPASE C ACTIVITY%GOBP%GO:0010863	POSITIVE REGULATION OF PHOSPHOLIPASE C ACTIVITY%GOBP%GO:0010863		27	-0.39368933	-1.2072928	0.18	0.6219319	1.0	1169	tags=22%, list=8%, signal=24%	
NEGATIVE REGULATION OF MRNA PROCESSING%GOBP%GO:0050686	NEGATIVE REGULATION OF MRNA PROCESSING%GOBP%GO:0050686		17	-0.43209803	-1.2068546	0.19933555	0.6221025	1.0	8	tags=6%, list=0%, signal=6%	
TRK RECEPTOR SIGNALING MEDIATED BY PI3K AND PLC-GAMMA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TRK RECEPTOR SIGNALING MEDIATED BY PI3K AND PLC-GAMMA	TRK RECEPTOR SIGNALING MEDIATED BY PI3K AND PLC-GAMMA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%TRK RECEPTOR SIGNALING MEDIATED BY PI3K AND PLC-GAMMA		31	-0.3946099	-1.2060536	0.2	0.6231543	1.0	2323	tags=35%, list=15%, signal=42%	
ENERGY RESERVE METABOLIC PROCESS%GOBP%GO:0006112	ENERGY RESERVE METABOLIC PROCESS%GOBP%GO:0006112		26	-0.3819761	-1.2058392	0.17870723	0.62255573	1.0	1230	tags=23%, list=8%, signal=25%	
POSITIVE REGULATION OF ORGAN GROWTH%GOBP%GO:0046622	POSITIVE REGULATION OF ORGAN GROWTH%GOBP%GO:0046622		17	-0.43919194	-1.204839	0.23333333	0.6243205	1.0	1595	tags=35%, list=10%, signal=39%	
POSITIVE REGULATION OF MITOCHONDRIAL TRANSLATION%GOBP%GO:0070131	POSITIVE REGULATION OF MITOCHONDRIAL TRANSLATION%GOBP%GO:0070131		15	-0.45393267	-1.2045724	0.22525597	0.6238503	1.0	8	tags=7%, list=0%, signal=7%	
TOLL LIKE RECEPTOR 9 (TLR9) CASCADE%REACTOME DATABASE ID RELEASE 83%168138	TOLL LIKE RECEPTOR 9 (TLR9) CASCADE%REACTOME DATABASE ID RELEASE 83%168138		96	-0.30297846	-1.2044147	0.104761906	0.62301356	1.0	2335	tags=25%, list=15%, signal=29%	
SPHINGOLIPID METABOLISM%SMPDB%SMP0000034	SPHINGOLIPID METABOLISM%SMPDB%SMP0000034		21	-0.4131211	-1.2040148	0.20967741	0.6229886	1.0	1673	tags=29%, list=11%, signal=32%	
REGULATION OF AMINE TRANSPORT%GOBP%GO:0051952	REGULATION OF AMINE TRANSPORT%GOBP%GO:0051952		43	-0.35078079	-1.2036253	0.16111112	0.62297493	1.0	1278	tags=21%, list=8%, signal=23%	
SECOND-MESSENGER-MEDIATED SIGNALING%GOBP%GO:0019932	SECOND-MESSENGER-MEDIATED SIGNALING%GOBP%GO:0019932		122	-0.2907218	-1.2036235	0.050632913	0.62178385	1.0	1209	tags=16%, list=8%, signal=18%	
REGULATION OF TUBE SIZE%GOBP%GO:0035150	REGULATION OF TUBE SIZE%GOBP%GO:0035150		42	-0.3547482	-1.2028805	0.20095694	0.6227489	1.0	1206	tags=21%, list=8%, signal=23%	
INHIBITION OF THE PROTEOLYTIC ACTIVITY OF APC C REQUIRED FOR THE ONSET OF ANAPHASE BY MITOTIC SPINDLE CHECKPOINT COMPONENTS%REACTOME%R-HSA-141405.4	INHIBITION OF THE PROTEOLYTIC ACTIVITY OF APC C REQUIRED FOR THE ONSET OF ANAPHASE BY MITOTIC SPINDLE CHECKPOINT COMPONENTS%REACTOME%R-HSA-141405.4		18	-0.42825976	-1.202741	0.18771331	0.6220115	1.0	530	tags=11%, list=3%, signal=11%	
TRAF6 MEDIATED INDUCTION OF NFKB AND MAP KINASES UPON TLR7 8 OR 9 ACTIVATION%REACTOME DATABASE ID RELEASE 83%975138	TRAF6 MEDIATED INDUCTION OF NFKB AND MAP KINASES UPON TLR7 8 OR 9 ACTIVATION%REACTOME DATABASE ID RELEASE 83%975138		91	-0.303338	-1.202701	0.110091746	0.62093604	1.0	2335	tags=25%, list=15%, signal=30%	
NEGATIVE REGULATION OF PROTEIN DEPHOSPHORYLATION%GOBP%GO:0035308	NEGATIVE REGULATION OF PROTEIN DEPHOSPHORYLATION%GOBP%GO:0035308		26	-0.3963002	-1.2025956	0.18045112	0.62007725	1.0	2886	tags=38%, list=19%, signal=47%	
MODIFIED AMINO ACID TRANSPORT%GOBP%GO:0072337	MODIFIED AMINO ACID TRANSPORT%GOBP%GO:0072337		26	-0.39373386	-1.2024603	0.18146718	0.61927766	1.0	293	tags=8%, list=2%, signal=8%	
G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY, COUPLED TO CYCLIC NUCLEOTIDE SECOND MESSENGER%GOBP%GO:0007187	G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY, COUPLED TO CYCLIC NUCLEOTIDE SECOND MESSENGER%GOBP%GO:0007187		29	-0.38136148	-1.2023203	0.18145162	0.6185191	1.0	1363	tags=17%, list=9%, signal=19%	
NEGATIVE REGULATION OF TRANSLATIONAL INITIATION%GOBP%GO:0045947	NEGATIVE REGULATION OF TRANSLATIONAL INITIATION%GOBP%GO:0045947		16	-0.43960485	-1.2021885	0.21201414	0.61763704	1.0	1920	tags=25%, list=12%, signal=29%	
RESISTIN AS A REGULATOR OF INFLAMMATION%WIKIPATHWAYS_20220510%WP4481%HOMO SAPIENS	RESISTIN AS A REGULATOR OF INFLAMMATION%WIKIPATHWAYS_20220510%WP4481%HOMO SAPIENS		19	-0.42426574	-1.2020628	0.19117647	0.61683804	1.0	2582	tags=32%, list=17%, signal=38%	
REGULATION OF COMPLEMENT ACTIVATION%GOBP%GO:0030449	REGULATION OF COMPLEMENT ACTIVATION%GOBP%GO:0030449		15	-0.45478898	-1.2017753	0.2195946	0.6165395	1.0	8	tags=7%, list=0%, signal=7%	
FABRY DISEASE%SMPDB%SMP0000525	FABRY DISEASE%SMPDB%SMP0000525		21	-0.4131211	-1.2016747	0.221843	0.61567235	1.0	1673	tags=29%, list=11%, signal=32%	
TOLL LIKE RECEPTOR 2 (TLR2) CASCADE%REACTOME%R-HSA-181438.1	TOLL LIKE RECEPTOR 2 (TLR2) CASCADE%REACTOME%R-HSA-181438.1		97	-0.29636267	-1.2015566	0.09615385	0.61488414	1.0	2335	tags=25%, list=15%, signal=29%	
CELLULAR RESPONSE TO HYPOXIA%GOBP%GO:0071456	CELLULAR RESPONSE TO HYPOXIA%GOBP%GO:0071456		69	-0.30850688	-1.2013873	0.120300755	0.61425936	1.0	1595	tags=22%, list=10%, signal=24%	
TOLL LIKE RECEPTOR 7 8 (TLR7 8) CASCADE%REACTOME%R-HSA-168181.6	TOLL LIKE RECEPTOR 7 8 (TLR7 8) CASCADE%REACTOME%R-HSA-168181.6		92	-0.3016074	-1.2013069	0.09448819	0.6133453	1.0	2335	tags=25%, list=15%, signal=29%	
REGULATION OF GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071622	REGULATION OF GRANULOCYTE CHEMOTAXIS%GOBP%GO:0071622		29	-0.38790375	-1.2011802	0.2	0.61254793	1.0	755	tags=14%, list=5%, signal=14%	
CELLULAR RESPONSE TO RETINOIC ACID%GOBP%GO:0071300	CELLULAR RESPONSE TO RETINOIC ACID%GOBP%GO:0071300		30	-0.37563446	-1.2008064	0.16734694	0.61243594	1.0	710	tags=13%, list=5%, signal=14%	
BIOCARTA_P38MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_P38MAPK_PATHWAY	BIOCARTA_P38MAPK_PATHWAY%MSIGDB_C2%BIOCARTA_P38MAPK_PATHWAY		28	-0.38277286	-1.200723	0.20238096	0.61151016	1.0	1749	tags=25%, list=11%, signal=28%	
MEMBRANE FUSION%GOBP%GO:0061025	MEMBRANE FUSION%GOBP%GO:0061025		108	-0.29894888	-1.1994244	0.0882353	0.61406744	1.0	2585	tags=23%, list=17%, signal=28%	
NOTCH-MEDIATED HES HEY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NOTCH-MEDIATED HES HEY NETWORK	NOTCH-MEDIATED HES HEY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NOTCH-MEDIATED HES HEY NETWORK		40	-0.35024807	-1.1990464	0.1764706	0.6140959	1.0	495	tags=13%, list=3%, signal=13%	
RHO GTPASES ACTIVATE NADPH OXIDASES%REACTOME%R-HSA-5668599.6	RHO GTPASES ACTIVATE NADPH OXIDASES%REACTOME%R-HSA-5668599.6		16	-0.43996322	-1.1987418	0.20512821	0.61379796	1.0	1749	tags=25%, list=11%, signal=28%	
REGULATION OF TUBE DIAMETER%GOBP%GO:0035296	REGULATION OF TUBE DIAMETER%GOBP%GO:0035296		42	-0.3547482	-1.1979365	0.17370892	0.6149498	1.0	1206	tags=21%, list=8%, signal=23%	
BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY	BIOCARTA_G1_PATHWAY%MSIGDB_C2%BIOCARTA_G1_PATHWAY		18	-0.4259102	-1.1974511	0.21804512	0.61513805	1.0	1778	tags=28%, list=12%, signal=31%	
CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007	CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:0055007		34	-0.3739834	-1.1973617	0.16243654	0.614244	1.0	786	tags=18%, list=5%, signal=19%	
CHONDROCYTE DIFFERENTIATION%GOBP%GO:0002062	CHONDROCYTE DIFFERENTIATION%GOBP%GO:0002062		28	-0.3823893	-1.1971	0.17358491	0.61389905	1.0	1001	tags=14%, list=7%, signal=15%	
MYD88 DEPENDENT CASCADE INITIATED ON ENDOSOME%REACTOME DATABASE ID RELEASE 83%975155	MYD88 DEPENDENT CASCADE INITIATED ON ENDOSOME%REACTOME DATABASE ID RELEASE 83%975155		92	-0.3016074	-1.1964939	0.11382114	0.6145807	1.0	2335	tags=25%, list=15%, signal=29%	
METACHROMATIC LEUKODYSTROPHY (MLD)%SMPDB%SMP0000347	METACHROMATIC LEUKODYSTROPHY (MLD)%SMPDB%SMP0000347		21	-0.4131211	-1.1957788	0.2155477	0.61557657	1.0	1673	tags=29%, list=11%, signal=32%	
BIOCARTA_AT1R_PATHWAY%MSIGDB_C2%BIOCARTA_AT1R_PATHWAY	BIOCARTA_AT1R_PATHWAY%MSIGDB_C2%BIOCARTA_AT1R_PATHWAY		22	-0.39941046	-1.194614	0.21189591	0.6179702	1.0	1934	tags=36%, list=13%, signal=42%	
BRAIN-DERIVED NEUROTROPHIC FACTOR (BDNF) SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2380%HOMO SAPIENS	BRAIN-DERIVED NEUROTROPHIC FACTOR (BDNF) SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2380%HOMO SAPIENS		120	-0.2954744	-1.1942824	0.05263158	0.61791056	1.0	1934	tags=23%, list=13%, signal=26%	
S1P RECEPTOR SIGNAL TRANSDUCTION%WIKIPATHWAYS_20220510%WP26%HOMO SAPIENS	S1P RECEPTOR SIGNAL TRANSDUCTION%WIKIPATHWAYS_20220510%WP26%HOMO SAPIENS		16	-0.43985856	-1.1941904	0.21666667	0.6170593	1.0	2349	tags=44%, list=15%, signal=52%	
TOLL LIKE RECEPTOR 4 (TLR4) CASCADE%REACTOME DATABASE ID RELEASE 83%166016	TOLL LIKE RECEPTOR 4 (TLR4) CASCADE%REACTOME DATABASE ID RELEASE 83%166016		119	-0.286259	-1.1933727	0.0989011	0.61832076	1.0	2335	tags=24%, list=15%, signal=29%	
CELLULAR RESPONSE TO MONOSACCHARIDE STIMULUS%GOBP%GO:0071326	CELLULAR RESPONSE TO MONOSACCHARIDE STIMULUS%GOBP%GO:0071326		29	-0.36987147	-1.1932958	0.19827586	0.6173722	1.0	1219	tags=24%, list=8%, signal=26%	
METABOTROPIC GLUTAMATE RECEPTOR GROUP I PATHWAY%PANTHER PATHWAY%P00041	METABOTROPIC GLUTAMATE RECEPTOR GROUP I PATHWAY%PANTHER PATHWAY%P00041		23	-0.40690386	-1.1930555	0.21276596	0.616985	1.0	782	tags=26%, list=5%, signal=27%	
TRIF(TICAM1)-MEDIATED TLR4 SIGNALING%REACTOME DATABASE ID RELEASE 83%937061	TRIF(TICAM1)-MEDIATED TLR4 SIGNALING%REACTOME DATABASE ID RELEASE 83%937061		97	-0.3028641	-1.190676	0.11363637	0.62329	1.0	2004	tags=24%, list=13%, signal=27%	
PID_SYNDECAN_2_PATHWAY%MSIGDB_C2%PID_SYNDECAN_2_PATHWAY	PID_SYNDECAN_2_PATHWAY%MSIGDB_C2%PID_SYNDECAN_2_PATHWAY		21	-0.4115103	-1.1899906	0.22047244	0.62408626	1.0	2504	tags=43%, list=16%, signal=51%	
BIOCARTA_WNT_PATHWAY%MSIGDB_C2%BIOCARTA_WNT_PATHWAY	BIOCARTA_WNT_PATHWAY%MSIGDB_C2%BIOCARTA_WNT_PATHWAY		17	-0.43750477	-1.1899166	0.20848057	0.6231841	1.0	1163	tags=24%, list=8%, signal=25%	
KRABBE DISEASE%PATHWHIZ%PW000502	KRABBE DISEASE%PATHWHIZ%PW000502		21	-0.4131211	-1.1898278	0.20700637	0.62228537	1.0	1673	tags=29%, list=11%, signal=32%	
POSITIVE REGULATION OF AUTOPHAGY%GOBP%GO:0010508	POSITIVE REGULATION OF AUTOPHAGY%GOBP%GO:0010508		126	-0.2800662	-1.1890925	0.0875	0.62337804	1.0	2914	tags=25%, list=19%, signal=31%	
PID_CD40_PATHWAY%MSIGDB_C2%PID_CD40_PATHWAY	PID_CD40_PATHWAY%MSIGDB_C2%PID_CD40_PATHWAY		20	-0.4116106	-1.188972	0.21428572	0.62264097	1.0	1749	tags=25%, list=11%, signal=28%	
LATE ENDOSOME TO LYSOSOME TRANSPORT%GOBP%GO:1902774	LATE ENDOSOME TO LYSOSOME TRANSPORT%GOBP%GO:1902774		17	-0.4251918	-1.1887022	0.21283785	0.6222911	1.0	3545	tags=41%, list=23%, signal=53%	
TOLL LIKE RECEPTOR 5 (TLR5) CASCADE%REACTOME DATABASE ID RELEASE 83%168176	TOLL LIKE RECEPTOR 5 (TLR5) CASCADE%REACTOME DATABASE ID RELEASE 83%168176		88	-0.30550036	-1.1881269	0.1570248	0.62282544	1.0	2335	tags=26%, list=15%, signal=31%	
NEGATIVE REGULATION OF MONOATOMIC ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0034766	NEGATIVE REGULATION OF MONOATOMIC ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0034766		54	-0.32539487	-1.1880527	0.17486338	0.6219683	1.0	3753	tags=44%, list=24%, signal=59%	
WNT%IOB%WNT	WNT%IOB%WNT		48	-0.33054104	-1.1879492	0.15083799	0.6211901	1.0	1941	tags=23%, list=13%, signal=26%	
RAS ACTIVATION UPON CA2+ INFLUX THROUGH NMDA RECEPTOR%REACTOME DATABASE ID RELEASE 83%442982	RAS ACTIVATION UPON CA2+ INFLUX THROUGH NMDA RECEPTOR%REACTOME DATABASE ID RELEASE 83%442982		19	-0.41533706	-1.1879113	0.2371134	0.62019086	1.0	459	tags=21%, list=3%, signal=22%	
MYD88-INDEPENDENT TLR4 CASCADE%REACTOME DATABASE ID RELEASE 83%166166	MYD88-INDEPENDENT TLR4 CASCADE%REACTOME DATABASE ID RELEASE 83%166166		97	-0.3028641	-1.1878693	0.16935484	0.61921465	1.0	2004	tags=24%, list=13%, signal=27%	
DOWNSTREAM SIGNAL TRANSDUCTION%REACTOME%R-HSA-186763.2	DOWNSTREAM SIGNAL TRANSDUCTION%REACTOME%R-HSA-186763.2		25	-0.40118194	-1.1877753	0.2423077	0.61844015	1.0	2692	tags=32%, list=18%, signal=39%	
SHP2 SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SHP2 SIGNALING	SHP2 SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SHP2 SIGNALING		47	-0.3411269	-1.1876272	0.1865285	0.61775875	1.0	2158	tags=28%, list=14%, signal=32%	
NETRIN-1 SIGNALING%REACTOME%R-HSA-373752.2	NETRIN-1 SIGNALING%REACTOME%R-HSA-373752.2		45	-0.3405981	-1.1875048	0.17977528	0.6170166	1.0	2353	tags=29%, list=15%, signal=34%	
TOLL LIKE RECEPTOR 10 (TLR10) CASCADE%REACTOME DATABASE ID RELEASE 83%168142	TOLL LIKE RECEPTOR 10 (TLR10) CASCADE%REACTOME DATABASE ID RELEASE 83%168142		88	-0.30550036	-1.1872144	0.11111111	0.61668426	1.0	2335	tags=26%, list=15%, signal=31%	
PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY	PID_PDGFRB_PATHWAY%MSIGDB_C2%PID_PDGFRB_PATHWAY		86	-0.30631584	-1.1868461	0.117117114	0.6166308	1.0	2511	tags=28%, list=16%, signal=33%	
PI METABOLISM%REACTOME DATABASE ID RELEASE 83%1483255	PI METABOLISM%REACTOME DATABASE ID RELEASE 83%1483255		75	-0.3178212	-1.1865935	0.1594203	0.6162481	1.0	3342	tags=36%, list=22%, signal=46%	
REGULATION OF INSULIN SECRETION%REACTOME DATABASE ID RELEASE 83%422356	REGULATION OF INSULIN SECRETION%REACTOME DATABASE ID RELEASE 83%422356		65	-0.3139338	-1.1864302	0.14705883	0.61562926	1.0	1187	tags=17%, list=8%, signal=18%	
NEGATIVE REGULATION OF INTRACELLULAR PROTEIN TRANSPORT%GOBP%GO:0090317	NEGATIVE REGULATION OF INTRACELLULAR PROTEIN TRANSPORT%GOBP%GO:0090317		30	-0.37268823	-1.186381	0.20960699	0.61470765	1.0	1321	tags=23%, list=9%, signal=25%	
RESPONSE TO GLUCOSE%GOBP%GO:0009749	RESPONSE TO GLUCOSE%GOBP%GO:0009749		42	-0.3531746	-1.1862832	0.19897959	0.6138953	1.0	1263	tags=21%, list=8%, signal=23%	
REGULATION OF INTERLEUKIN-12 PRODUCTION%GOBP%GO:0032655	REGULATION OF INTERLEUKIN-12 PRODUCTION%GOBP%GO:0032655		25	-0.39460677	-1.1859629	0.23715416	0.6137216	1.0	2032	tags=28%, list=13%, signal=32%	
PID_ECADHERIN_NASCENT_AJ_PATHWAY%MSIGDB_C2%PID_ECADHERIN_NASCENT_AJ_PATHWAY	PID_ECADHERIN_NASCENT_AJ_PATHWAY%MSIGDB_C2%PID_ECADHERIN_NASCENT_AJ_PATHWAY		25	-0.38366306	-1.1856362	0.20731707	0.6135919	1.0	1520	tags=20%, list=10%, signal=22%	
CALCIUM REGULATION IN CARDIAC CELLS%WIKIPATHWAYS_20220510%WP536%HOMO SAPIENS	CALCIUM REGULATION IN CARDIAC CELLS%WIKIPATHWAYS_20220510%WP536%HOMO SAPIENS		94	-0.29434168	-1.1852118	0.14782609	0.6137763	1.0	1589	tags=19%, list=10%, signal=21%	
REGULATION OF NEUTROPHIL CHEMOTAXIS%GOBP%GO:0090022	REGULATION OF NEUTROPHIL CHEMOTAXIS%GOBP%GO:0090022		19	-0.41975683	-1.1849468	0.23255815	0.61345655	1.0	755	tags=16%, list=5%, signal=17%	
S1P3 PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%S1P3 PATHWAY	S1P3 PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%S1P3 PATHWAY		25	-0.3952287	-1.184634	0.2210145	0.6132737	1.0	1730	tags=24%, list=11%, signal=27%	
BIOCARTA_IL2RB_PATHWAY%MSIGDB_C2%BIOCARTA_IL2RB_PATHWAY	BIOCARTA_IL2RB_PATHWAY%MSIGDB_C2%BIOCARTA_IL2RB_PATHWAY		22	-0.41197863	-1.1845129	0.20363636	0.61252946	1.0	2208	tags=32%, list=14%, signal=37%	
INTRACELLULAR SIGNALLING THROUGH ADENOSINE RECEPTOR A2A AND ADENOSINE%SMPDB%SMP0000320	INTRACELLULAR SIGNALLING THROUGH ADENOSINE RECEPTOR A2A AND ADENOSINE%SMPDB%SMP0000320		34	-0.37152183	-1.1844711	0.2	0.6115956	1.0	1455	tags=26%, list=9%, signal=29%	
REGULATION OF CATECHOLAMINE SECRETION%GOBP%GO:0050433	REGULATION OF CATECHOLAMINE SECRETION%GOBP%GO:0050433		29	-0.37221092	-1.1843199	0.21825397	0.6109894	1.0	959	tags=21%, list=6%, signal=22%	
POSITIVE REGULATION OF PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0090314	POSITIVE REGULATION OF PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0090314		23	-0.38976243	-1.1839578	0.2457627	0.6109782	1.0	939	tags=13%, list=6%, signal=14%	
VENTRICULAR SEPTUM DEVELOPMENT%GOBP%GO:0003281	VENTRICULAR SEPTUM DEVELOPMENT%GOBP%GO:0003281		31	-0.36772725	-1.1836609	0.21991701	0.6107897	1.0	1293	tags=16%, list=8%, signal=18%	
REGULATION OF SODIUM ION TRANSPORT%GOBP%GO:0002028	REGULATION OF SODIUM ION TRANSPORT%GOBP%GO:0002028		59	-0.3268577	-1.1814518	0.18128654	0.61607724	1.0	989	tags=19%, list=6%, signal=20%	
PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY	PID_VEGFR1_PATHWAY%MSIGDB_C2%PID_VEGFR1_PATHWAY		16	-0.43769547	-1.1811291	0.22222222	0.6159567	1.0	1135	tags=25%, list=7%, signal=27%	
POSITIVE REGULATION OF MEMBRANE PERMEABILITY%GOBP%GO:1905710	POSITIVE REGULATION OF MEMBRANE PERMEABILITY%GOBP%GO:1905710		24	-0.38864368	-1.1810414	0.22962964	0.615104	1.0	2780	tags=38%, list=18%, signal=46%	
POSITIVE REGULATION OF CALCINEURIN-MEDIATED SIGNALING%GOBP%GO:0106058	POSITIVE REGULATION OF CALCINEURIN-MEDIATED SIGNALING%GOBP%GO:0106058		15	-0.436853	-1.1806899	0.23841059	0.6150795	1.0	2345	tags=33%, list=15%, signal=39%	
